Datum,CDU/CSU,SPD,GRÜNE,FDP,LINKE,FW,AfD,Sonstige
03.01.2024,32,15,13,5,4,3,22.5,5.5
31.12.2023,32,15,12,5,4,3,23,6
28.12.2023,32,15,12,5,4,3,23,6
23.12.2023,32,15,12,5,4,3,22,7
18.12.2023,31.5,15.5,12.5,5,4,2.5,23,6
16.12.2023,32,15,12,5,4,2,23,7
12.12.2023,30,16,12.5,6,4,3,22.5,6
09.12.2023,30,16,12,6,4,3,22,7
05.12.2023,29.5,15.5,13,6,3.5,3,22.5,7
02.12.2023,30,16,13,6,3,3,22,7
27.11.2023,30.5,15.5,12.5,6,4,3,22,6.5
25.11.2023,30,16,12,6,4,3,22,7
21.11.2023,30,16.5,13,5.5,4.5,3,21,6.5
18.11.2023,30,16,13,6,4,3,21,7
13.11.2023,30.5,16.5,13.5,5,4.5,3,21.5,5.5
11.11.2023,30,17,14,5,4,3,21,6
06.11.2023,29.5,16.5,13.5,5.5,4.5,3,22,5.5
05.11.2023,30,16,13,6,4,3,22,6
30.10.2023,30.5,16.5,13,5.5,4,3.5,21,6
28.10.2023,31,16,13,6,4,3,21,6
24.10.2023,28.5,16.5,13,5.5,5,3.5,22,6
21.10.2023,29,16,13,5,5,4,22,6
16.10.2023,28,16.5,13,6,4.5,4,23,5
14.10.2023,28,17,13,6,5,4,23,4
10.10.2023,27,17,13.5,6,5,3,22.5,6
07.10.2023,27,17,14,6,5,3,22,6
02.10.2023,26.5,18,13.5,7,5,2.5,22,5.5
30.09.2023,26,18,14,7,5,3,22,5
26.09.2023,27,17.5,13.5,6.5,5,3,21.5,6
23.09.2023,27,17,14,6,5,3,22,6
19.09.2023,26.5,17,14.5,6,5,3.5,21,6.5
16.09.2023,27,17,15,6,5,3,21,6
11.09.2023,26.5,18,14,7,4.5,–,22,8
09.09.2023,27,18,13,7,5,–,22,8
04.09.2023,26.5,17.5,13.5,7.5,4.5,–,21.5,9
02.09.2023,27,18,13,7,5,–,21,9
28.08.2023,26.5,18,14.5,7,4.5,–,21,8.5
26.08.2023,27,18,14,7,5,–,21,8
21.08.2023,26.5,18.5,14,8,5,–,20.5,7.5
19.08.2023,27,18,14,8,5,–,21,7
14.08.2023,26,19.5,13.5,7,4.5,–,21,8.5
12.08.2023,26,20,13,7,5,–,21,8
07.08.2023,27,19,14.5,7.5,4.5,–,20.5,7
05.08.2023,27,19,14,7,5,–,21,7
31.07.2023,26.5,18.5,14,6.5,5,–,21.5,8
29.07.2023,26,18,14,7,5,–,22,8
25.07.2023,26.5,18.5,14,7.5,4.5,–,21.5,7.5
22.07.2023,26,18,14,7,5,–,22,8
17.07.2023,27,18,14,7,5,–,20.5,8.5
15.07.2023,27,18,14,7,5,–,20,9
10.07.2023,26,19,14,7,5,–,20.5,8.5
08.07.2023,27,19,13,7,5,–,20,9
03.07.2023,25.5,19,14.5,6.5,5,–,21,8.5
01.07.2023,26,19,14,7,5,–,20,9
26.06.2023,26.5,19.5,13.5,6.5,4.5,–,20.5,9
24.06.2023,26,20,13,7,4,–,20,10
19.06.2023,26.5,20,13.5,7.5,4.5,–,20,8
17.06.2023,27,20,13,8,4,–,19,9
12.06.2023,27,20,13,8,4.5,–,19.5,8
10.06.2023,27,20,13,8,5,–,19,8
05.06.2023,26.5,19,13.5,9,5,–,19,8
03.06.2023,27,19,13,9,5,–,19,8
31.05.2023,28,20.5,13,8.5,4.5,–,18,7.5
27.05.2023,28,20,13,9,4,–,18,8
22.05.2023,27.5,20.5,14,8.5,5,–,17,7.5
20.05.2023,28,21,14,8,5,–,17,7
15.05.2023,28,20,14.5,8.5,5,–,16.5,7.5
13.05.2023,28,20,15,9,4,–,16,8
08.05.2023,28,20,14,9,4.5,–,16.5,8
06.05.2023,28,20,14,9,4,–,16,9
02.05.2023,27,21,15,8,4.5,–,16.5,8
29.04.2023,28,21,14,8,5,–,16,8
24.04.2023,27.5,20,14.5,9,4.5,–,16,8.5
22.04.2023,28,20,15,9,4,–,16,8
17.04.2023,27.5,21,15,8,4.5,–,16,8
15.04.2023,27,21,15,8,5,–,16,8
11.04.2023,27.5,20,15.5,8,4.5,–,16,8.5
08.04.2023,28,20,16,8,4,–,16,8
03.04.2023,28,20,15.5,7.5,4.5,–,16,8.5
01.04.2023,27,21,16,8,4,–,16,8
27.03.2023,28,20.5,16,8,4,–,15.5,8
25.03.2023,28,21,16,8,4,–,15,8
20.03.2023,28,21.5,15,7.5,5,–,16,7
19.03.2023,28,21,15,8,5,–,16,7
13.03.2023,28.5,21.5,15.5,7.5,4,–,16,7
11.03.2023,29,21,16,7,4,–,15,8
07.03.2023,29.5,20,15.5,7.5,5,–,15.5,7
05.03.2023,30,20,16,7,5,–,15,7
27.02.2023,29.5,20.5,15.5,7.5,4.5,–,15.5,7
25.02.2023,29,21,16,7,5,–,15,7
20.02.2023,29,21.5,15.5,7,5,–,15.5,6.5
18.02.2023,29,21,16,7,5,–,16,6
13.02.2023,28,20,16,7.5,5,–,16,7.5
11.02.2023,28,20,16,8,5,–,16,7
06.02.2023,27,21,16,8,5,–,15.5,7.5
04.02.2023,28,21,16,8,5,–,15,7
30.01.2023,28.5,20.5,16,7.5,5,–,15,7.5
28.01.2023,29,20,16,7,5,–,15,8
23.01.2023,28,20.5,16.5,7.5,4.5,–,15,8
21.01.2023,28,20,16,7,5,–,15,9
16.01.2023,28,21,16.5,7.5,5,–,15,7
14.01.2023,27,20,17,8,5,–,15,8
09.01.2023,27,20,17.5,7.5,5,–,15,8
08.01.2023,27,20,18,7,5,–,15,8
02.01.2023,27,20,17.5,7.5,4.5,–,15,8.5
31.12.2022,26,20,18,7,5,–,15,9
24.12.2022,27,21,17,8,5,–,14,8
19.12.2022,27.5,21,17.5,7.5,4.5,–,14.5,7.5
17.12.2022,27,21,18,7,5,–,15,7
13.12.2022,28.5,20,18,7,4.5,–,15.5,6.5
11.12.2022,28,20,18,7,4,–,15,8
06.12.2022,28,20.5,17,7,5,–,14.5,8
03.12.2022,28,20,17,7,5,–,15,8
28.11.2022,27,21,17.5,7,5,–,15,7.5
27.11.2022,27,21,18,7,5,–,15,7
21.11.2022,28,20,17,7.5,5,–,15,7.5
20.11.2022,28,20,17,7,5,–,15,8
14.11.2022,27.5,20.5,17.5,7,4.5,–,15,8
13.11.2022,28,21,18,7,4,–,15,7
07.11.2022,27,21,17.5,8,4.5,–,14.5,7.5
06.11.2022,27%21,17,8,5,–,15,7
01.11.2022,26,20.5,18,9,4.5,–,15,7
30.10.2022,26,20,18,9,5,–,15,7
25.10.2022,26.5,20.5,17.5,8.5,4.5,–,15,7.5
23.10.2022,27,20,18,8,5,–,15,7
17.10.2022,27.5,19.5,18.5,7.5,4.5,–,15.5,7
16.10.2022,28,19,18,8,5,–,15,7
10.10.2022,27.5,19.5,19,7.5,5,–,15,6.5
08.10.2022,27,19,19,8,5,–,15,7
04.10.2022,27.5,19,18.5,8,5.5,–,15,6.5
01.10.2022,28,19,18,8,6,–,15,6
26.09.2022,27.5,18,19.5,8,5.5,–,15,6.5
24.09.2022,28,19,19,8,5,–,14,7
20.09.2022,28.5,18.5,19,7.5,5.5,–,14,7
17.09.2022,28,19,19,7,6,–,13,8
12.09.2022,28,18,20,8,5.5,–,13.5,7
10.09.2022,27,19,20,8,5,–,13,8
06.09.2022,28,18,20.5,7.5,5.5,–,13.5,7
03.09.2022,28,19,20,8,5,–,13,7
29.08.2022,27.5,19,20.5,8,5.5,–,13,6.5
27.08.2022,28,20,21,8,5,–,12,6
22.08.2022,28,18.5,21,7.5,5.5,–,13,6.5
20.08.2022,28,19,21,8,5,–,12,7
15.08.2022,28,19,22,8,5,–,12,6
13.08.2022,27,19,22,9,5,–,12,6
08.08.2022,27,18,21.5,8,5.5,–,12.5,7.5
06.08.2022,27,19,21,9,5,–,12,7
01.08.2022,26.5,18.5,22,8,5,–,12,8
30.07.2022,26,19,22,9,5,–,12,7
25.07.2022,26.5,18.5,22,8,5,–,12,8
23.07.2022,27,18,23,8,5,–,12,7
18.07.2022,26.5,18.5,22,8,4.5,–,12,8.5
16.07.2022,26,19,22,8,5,–,11,9
12.07.2022,27,20,21,8.5,4.5,–,11,8
10.07.2022,28,19,22,8,4,–,10,9
04.07.2022,28,19,21,9.5,4,–,11,7.5
02.07.2022,27,20,22,9,4,–,11,7
27.06.2022,27,20,21.5,9,4,–,10.5,8
25.06.2022,26,20,22,9,4,–,11,8
20.06.2022,28,19.5,21,9.5,4,–,10,8
19.06.2022,27,20,21,9,4,–,10,9
13.06.2022,27.5,20,21,9.5,3.5,–,10.5,8
11.06.2022,27,21,21,9,4,–,10,8
07.06.2022,27,20,21.5,9.5,3.5,–,10.5,8
04.06.2022,27,22,20,9,4,–,9,9
30.05.2022,27,22,20.5,8.5,3.5,–,10,8.5
28.05.2022,27,23,19,9,4,–,9,9
23.05.2022,28.5,22,20,8.5,3,–,10.5,7.5
21.05.2022,28,21,19,10,3,–,10,9
16.05.2022,28,21.5,20.5,9,3,–,11,7
14.05.2022,27,22,18,10,4,–,10,9
09.05.2022,27.5,22.5,19,10,3.5,–,10.5,7
07.05.2022,27,23,18,11,3,–,10,8
02.05.2022,27,23,19,9.5,4.5,–,10.5,6.5
01.05.2022,26,23,18,10,4,–,11,8
25.04.2022,26.5,24,18,9,4.5,–,11.5,6.5
23.04.2022,26,24,18,9,5,–,11,7
19.04.2022,26,23.5,19,9,4.5,–,11,7
16.04.2022,26,25,17,10,5,–,10,7
11.04.2022,27,25,17.5,9,4.5,–,11,6
09.04.2022,26,25,16,10,4,–,11,8
04.04.2022,26,25,17.5,10.5,4.5,–,10.5,6
02.04.2022,26,26,16,10,4,–,11,7
29.03.2022,26,25,16.5,10,5.5,–,10.5,6.5
26.03.2022,26,26,16,10,5,–,11,6
21.03.2022,26.5,24.5,16.5,11,4.5,–,11,6
19.03.2022,26,26,16,10,5,–,10,7
14.03.2022,25.5,25,15.5,10.5,5,–,10.5,8
12.03.2022,24,26,16,10,6,–,10,8
07.03.2022,24.5,25,15.5,11,6,–,10.5,7.5
05.03.2022,25,25,15,11,6,–,11,7
01.03.2022,27,23,15.5,11,6.5,–,10.5,6.5
27.02.2022,26,23,15,11,7,–,12,6
21.02.2022,27,23,14.5,12.5,6,–,11,6
19.02.2022,27,22,15,11,7,–,12,6
14.02.2022,26,22.5,15,12,6,–,12,6.5
12.02.2022,26,22,16,11,6,–,12,7
07.02.2022,26,23,15,12,7,–,11,6
05.02.2022,27,22,16,11,6,–,11,7
31.01.2022,25,24,15,12.5,6.5,–,10,7
29.01.2022,24,26,16,11,6,–,11,6
24.01.2022,24,26,15,11.5,6,–,11,6.5
22.01.2022,23,26,16,12,6,–,12,5
17.01.2022,22.5,26,15.5,12,6,–,12,6
15.01.2022,23,27,16,11,5,–,12,6
10.01.2022,23,26.5,15,12,5,–,12,6.5
08.01.2022,23,27,16,12,5,–,11,6
03.01.2022,23,26.5,15.5,11,6,–,11.5,6.5
01.01.2022,24,27,16,10,5,–,11,7
26.12.2021,23,28,15,11,5,–,11,7
20.12.2021,21.5,27.5,14.5,13,5.5,–,11.5,6.5
18.12.2021,23,27,14,12,5,–,12,7
13.12.2021,22,27,14.5,13,5.5,–,11.5,6.5
11.12.2021,22,26,15,13,5,–,11,8
06.12.2021,22,26,15,13.5,5.5,–,11.5,6.5
04.12.2021,21,26,15,13,5,–,12,8
29.11.2021,21,25,16,14,5.5,–,11,7.5
27.11.2021,21,26,15,13,6,–,12,7
22.11.2021,22,26,14,14,5.5,–,11,7.5
20.11.2021,21,26,15,13,5,–,12,8
15.11.2021,21,27,15,13,5.5,–,11.5,7
13.11.2021,22,26,15,13,5,–,11,8
08.11.2021,20.5,26.5,16,13.5,5.5,–,10.5,7.5
06.11.2021,21,27,15,14,5,–,11,7
02.11.2021,20,27,16,13.5,5,–,11.5,7
30.10.2021,21,27,16,13,5,–,11,7
25.10.2021,20,28,16,14,5,–,11,6
23.10.2021,20,27,17,14,4,–,11,7
18.10.2021,18.5,28,16,15,5,–,11.5,6
16.10.2021,19,28,16,13,4,–,11,9
11.10.2021,19.5,28.5,16,14.5,4,–,11,6.5
09.10.2021,20,28,15,14,5,–,10,8
04.10.2021,21,28,15.5,13.5,4.5,–,10,7.5
02.10.2021,21,28,16,12,5,–,10,8
